OTU,group,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU13271,1,Bacteria,Acidobacteria,[Chloracidobacteria],DS-100,,,
OTU25348,1,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
OTU26930,1,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
OTU25058,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU31562,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU26963,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU32726,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU29790,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU14535,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU16383,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU16034,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU16120,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU16385,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU16103,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU21375,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU21775,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU21443,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU21510,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22162,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU21709,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22066,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU21722,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22107,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22069,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22064,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU22170,1,Bacteria,Acidobacteria,Acidobacteria-5,,,,
OTU2858,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
OTU1305,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
OTU10030,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
OTU1283,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
OTU668,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU475,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU216,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU514,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU1572,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU427,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU1008,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU1436,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU786,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU430,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU839,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU2979,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU1084,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU1381,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU2060,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU6894,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU3344,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU784,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU365,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU320,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU308,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU190,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU875,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU8671,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6073,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU4064,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU347,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1225,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU119,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU112,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1298,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU425,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU12946,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU10599,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU502,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU744,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU203,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU763,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU15564,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1315,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU13347,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU431,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU899,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU13049,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU3804,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1330,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU2359,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU4672,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU16308,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU13629,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU622,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1100,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU5768,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU5084,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU2842,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU4037,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU2196,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1215,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6048,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU4327,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1625,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU599,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU1053,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU5108,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU27384,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,
OTU29201,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
OTU28946,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
OTU27693,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
OTU28176,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
OTU29020,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
OTU27156,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU31898,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU31880,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU28716,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU32913,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU33087,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU33330,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU31704,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU32511,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU27905,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU28134,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU28916,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU30003,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU30855,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU21052,1,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU21123,1,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU20965,1,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU21277,1,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU21245,1,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU7083,1,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,
OTU5760,1,Bacteria,Acidobacteria,iii1-8,DS-18,,,
OTU7404,1,Bacteria,Acidobacteria,iii1-8,DS-18,,,
OTU3048,1,Bacteria,Acidobacteria,iii1-8,SJA-36,,,
OTU1613,1,Bacteria,Acidobacteria,iii1-8,,,,
OTU23371,1,Bacteria,Acidobacteria,PAUC37f,,,,
OTU228,1,Bacteria,Acidobacteria,RB25,,,,
OTU193,1,Bacteria,Acidobacteria,S035,,,,
OTU173,1,Bacteria,Acidobacteria,S035,,,,
OTU212,1,Bacteria,Acidobacteria,S035,,,,
OTU30830,1,Bacteria,Acidobacteria,Solibacteres,JH-WHS99,,,
OTU30173,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU25314,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU29220,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU30471,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU25851,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU33127,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
