,OTU.ID,group,taxIS
1,OTU8281,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
2,OTU3829,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_exigua_SH214063.07FU
3,OTU4508,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
4,OTU4899,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
5,OTU26286,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Ilyonectria
6,OTU4898,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
7,OTU29225,1,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH195297.07FU
8,OTU30732,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
9,OTU11234,1,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH217934.07FU
10,OTU26288,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
11,OTU24579,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_rutilum_SH207064.07FU
12,OTU273,1,k__Fungi
13,OTU24658,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
14,OTU4882,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina_SH183636.07FU
15,OTU25668,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__unidentified; g__unidentified; s__Microascales_sp_SH210354.07FU
16,OTU32733,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Tetracladium; s__Tetracladium_maxilliforme_SH204309.07FU
17,OTU7819,1,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Olpidiales; f__Olpidiaceae; g__Olpidiaster; s__Olpidiaster_brassicae_SH194417.07FU
18,OTU29720,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__unidentified; s__Sporormiaceae_sp_SH184177.07FU
19,OTU9325,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
20,OTU30993,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__unidentified
21,OTU23665,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Beauveria; s__Beauveria_sp_SH470076.07FU
22,OTU8704,1,k__Fungi
23,OTU28661,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_sp_SH183008.07FU
24,OTU8113,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
25,OTU8081,1,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Olpidiales; f__Olpidiaceae; g__Olpidiaster; s__Olpidiaster_brassicae_SH194417.07FU
26,OTU7181,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sp_SH180140.07FU
27,OTU8909,1,k__Fungi
28,OTU25093,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
29,OTU24451,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified
30,OTU23265,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
31,OTU3836,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_exigua_SH214063.07FU
32,OTU4604,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
33,OTU29595,1,k__Fungi; p__Ascomycota
34,OTU16358,1,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales
35,OTU10718,1,k__Fungi
36,OTU7967,1,k__Fungi
37,OTU21165,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium_marquandii_SH217935.07FU
38,OTU32357,1,k__Fungi; p__Ascomycota
39,OTU25099,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
40,OTU11242,1,k__Fungi; p__Chytridiomycota; c__Monoblepharidomycetes; o__Monoblepharidales
41,OTU1411,1,k__Fungi
42,OTU21944,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Cylindrocarpon; s__Cylindrocarpon_sp_SH174294.07FU
43,OTU30021,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora; s__Cercophora_sp_SH202188.07FU
44,OTU17496,1,Unassignable
45,OTU27325,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Purpureocillium
46,OTU25193,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Incertae_sedis; g__Microdochium; s__Microdochium_bolleyi_SH213512.07FU
47,OTU22194,1,k__Fungi
48,OTU25799,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Beauveria; s__Beauveria_sp_SH470076.07FU
49,OTU8844,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae
50,OTU9016,1,k__Fungi; p__Chytridiomycota; c__Monoblepharidomycetes
51,OTU31328,1,k__Fungi; p__Ascomycota
52,OTU34166,1,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_victoriae_SH181628.07FU
53,OTU31734,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_sp_SH201182.07FU
54,OTU33500,1,k__Fungi
55,OTU21662,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__unidentified; s__Microascaceae_sp_SH194814.07FU
56,OTU32997,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified
57,OTU21322,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium_marquandii_SH217935.07FU
58,OTU24667,1,k__Fungi
59,OTU30342,1,k__Fungi; p__Ascomycota
60,OTU32906,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_sp_SH201182.07FU
61,OTU31714,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_sp_SH201182.07FU
62,OTU21328,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Lulworthiales; f__Lulworthiaceae; g__Lulwoana; s__Lulwoana_sp_SH031216.07FU
63,OTU30816,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales
64,OTU30365,1,k__Fungi
65,OTU8722,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina_SH183633.07FU
66,OTU10039,1,k__Fungi
67,OTU21245,1,k__Fungi; p__Ascomycota; c__Eurotiomycetes
68,OTU2261,1,k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified
69,OTU7566,1,k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified
70,OTU33805,1,k__Fungi; p__Ascomycota
71,OTU26131,1,k__Fungi; p__Ascomycota
72,OTU19507,1,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Coprinus; s__Coprinus_foetidellus_SH219036.07FU
73,OTU28318,1,k__Fungi; p__Ascomycota
74,OTU33761,1,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH198116.07FU
75,OTU28683,1,k__Fungi; p__Ascomycota
76,OTU32129,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH198114.07FU
77,OTU22865,1,k__Fungi; p__Ascomycota; c__Sordariomycetes
78,OTU3821,1,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Incertae_sedis; g__Operculomyces; s__Operculomyces_laminatus_SH210135.07FU
79,OTU29081,1,k__Fungi
80,OTU10487,1,k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Entylomatales; f__Entylomataceae; g__Entyloma; s__Entyloma_microsporum_SH188096.07FU
81,OTU25360,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
82,OTU35002,1,k__Fungi
83,OTU30489,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Vibrisseaceae; g__Phialocephala; s__Phialocephala_xalapensis_SH181581.07FU
84,OTU32258,1,k__Fungi; p__Ascomycota
85,OTU11233,1,k__Fungi
86,OTU28272,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Dendryphion; s__Dendryphion_nanum_SH204975.07FU
87,OTU26300,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__unidentified; s__Nectriaceae_sp_SH185946.07FU
88,OTU13817,1,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_mucilaginosa_SH216361.07FU
89,OTU9714,1,k__Fungi
90,OTU29664,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae; g__Malbranchea; s__Malbranchea_flocciformis_SH017430.07FU
91,OTU17490,1,k__Fungi
92,OTU32565,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis
93,OTU6772,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sarnyensis_SH192693.07FU
94,OTU19920,1,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH217934.07FU
95,OTU33494,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Tetracladium; s__Tetracladium_maxilliforme_SH204309.07FU
96,OTU15092,1,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae
97,OTU27082,1,k__Fungi
98,OTU24583,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_alternatum_SH217985.07FU
99,OTU11562,1,k__Fungi; p__Chytridiomycota; c__Monoblepharidomycetes
100,OTU9583,1,k__Fungi; p__Chytridiomycota; c__Monoblepharidomycetes
101,OTU6757,1,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Incertae_sedis; g__Operculomyces; s__Operculomyces_laminatus_SH210135.07FU
102,OTU8979,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
103,OTU22849,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Hypomyces; s__Hypomyces_sp_SH027838.07FU
104,OTU20994,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales
105,OTU430,1,k__Fungi
106,OTU32098,1,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH215939.07FU
107,OTU25780,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Incertae_sedis; f__Plectosphaerellaceae; g__Verticillium
108,OTU2423,1,k__Fungi
