,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
1304,OTU,34,33,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
1509,OTU,37,18,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
2098,OTU,41,6,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,C114,,,
568,OTU,43,187,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
745,OTU,54,89,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
2077,OTU,57,13,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
490,OTU,90,289,1,Bacteria,Acidobacteria,S035,,,,
1103,OTU,93,90,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
246,OTU,98,248,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
84,OTU,113,6135,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
311,OTU,138,778,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
393,OTU,146,252,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2155,OTU,159,13,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,C114,,,
521,OTU,162,227,1,Bacteria,Acidobacteria,S035,,,,
27,OTU,165,3522,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1006,OTU,171,62,1,Bacteria,WS3,PRR-12,wb1,,,
768,OTU,175,99,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
727,OTU,177,77,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
870,OTU,180,190,1,Bacteria,Acidobacteria,S035,,,,
1835,OTU,182,18,1,Bacteria,Acidobacteria,S035,,,,
362,OTU,184,278,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
1493,OTU,188,39,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
797,OTU,191,47,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
881,OTU,192,105,1,Bacteria,WS3,PRR-12,wb1,,,
184,OTU,194,779,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
599,OTU,198,98,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1298,OTU,204,53,1,Bacteria,Acidobacteria,S035,,,,
347,OTU,219,501,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
139,OTU,220,1801,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
590,OTU,221,139,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
962,OTU,222,58,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1151,OTU,225,142,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
223,OTU,231,481,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
53,OTU,233,2854,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1839,OTU,246,16,1,Bacteria,Acidobacteria,S035,,,,
1827,OTU,255,22,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
286,OTU,270,932,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
547,OTU,272,319,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
127,OTU,276,1170,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
12,OTU,280,1800,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
169,OTU,281,927,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
