,OTU,.ID,group,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
85,OTU,58,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,sp,SH205063.07FU,,
772,OTU,131,1,Fungi,,,,,,,,,,
624,OTU,196,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH461102.07FU,,
297,OTU,225,1,Fungi,,,,,,,,,,
397,OTU,325,1,Fungi,,,,,,,,,,
533,OTU,364,1,Fungi,,,,,,,,,,
223,OTU,374,1,Fungi,,,,,,,,,,
540,OTU,407,1,Fungi,,,,,,,,,,
250,OTU,415,1,Fungi,,,,,,,,,,
199,OTU,430,1,Fungi,,,,,,,,,,
446,OTU,463,1,Fungi,,,,,,,,,,
546,OTU,633,1,Fungi,,,,,,,,,,
733,OTU,879,1,Fungi,,,,,,,,,,
608,OTU,936,1,Fungi,,,,,,,,,,
569,OTU,1216,1,Fungi,,,,,,,,,,
774,OTU,1329,1,Fungi,,,,,,,,,,
254,OTU,1587,1,Fungi,,,,,,,,,,
660,OTU,1786,1,Fungi,,,,,,,,,,
443,OTU,1954,1,Fungi,,,,,,,,,,
539,OTU,1983,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH471931.07FU,,
618,OTU,1999,1,Fungi,,,,,,,,,,
167,OTU,2018,1,Fungi,,,,,,,,,,
482,OTU,2117,1,Fungi,,,,,,,,,,
510,OTU,2206,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH471931.07FU,,
681,OTU,2225,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH480184.07FU,,
554,OTU,2356,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH480184.07FU,,
407,OTU,2395,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH472358.07FU,,
548,OTU,2540,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH471931.07FU,,
337,OTU,2814,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH472358.07FU,,
753,OTU,2869,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH004657.07FU,,
