ID,Site,MAT,MAP,LUIlevel,LUIwT,Nit,Mow,Graze,Till,Sand,Silt,Clay,pH,BD,totN,totC,CN,totP,CUE_G,CUE_N,13CO2_G,13CO2_N,13MBC_G,13MBC_N,deltapH,deltaBD,deltaCUE_G,deltaCUE_N,delta13CO2_G,delta13CO2_N,delta13MBC_G,delta13MBC_N,16Spcoa1,16Spcoa2,ITSpcoa1,ITSpcoa2,CUEG:CUEN,qCO2G,growthG,qBiomassC,TOG,CNGrowthR,qCO2N,growthN,qBiomassN,TON
KA1,aCrainlarich,5.45,1401.5,xHigh,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.38,1.32,0.16,2.08,11.37,1302.24,0.48,0.15,9.59,1.18,8.82,0.22,1.09,0.57,-0.19,-0.26,0.89,0.67,-9.66,-0.04,-0.126227504,-0.00323024,-0.106219744,0.092137944,1.85,13.23,741.59,24.53,214.92,27.97,12.82,26.51,6.93,60.75
KA2,aCrainlarich,5.45,1401.5,xHigh,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.38,0.93,0.29,3.74,10.98,1844.94,0.62,0.27,7.19,1.52,11.66,0.55,1.09,0.18,-0.05,-0.15,-1.51,1.01,-6.82,0.3,-0.087992144,-0.007589668,-0.054662464,-0.011284514,5.08,9.91,492.94,16.31,142.86,55.8,16.56,8.83,2.31,20.24
KA3,aCrainlarich,5.45,1401.5,xHigh,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.31,0.97,0.66,7.97,10.37,1414.7,0.72,0.25,6.24,1.13,16.06,0.38,1.02,0.22,0.05,-0.17,-2.46,0.63,-2.42,0.12,-0.179316988,0.028591683,-0.171892336,0.095467947,2.59,8.6,713.56,23.61,206.8,38.24,12.34,18.66,4.88,42.75
KA4,aCrainlarich,5.45,1401.5,xHigh,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.26,0.97,0.28,3.38,10.22,1714.86,0.65,0.3,6.4,0.79,11.97,0.34,0.97,0.22,-0.02,-0.12,-2.31,0.29,-6.51,0.09,-0.163201685,0.037035736,-0.118497752,0.104771476,1.99,8.82,541.95,17.93,157.06,32.34,8.61,16.76,4.38,38.4
KA5,aCrainlarich,5.45,1401.5,xHigh,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.32,0.78,0.45,6.38,12.03,1814.68,0.65,0.23,7.84,1.36,14.3,0.39,1.03,0.03,-0.02,-0.19,-0.86,0.85,-4.18,0.14,-0.152218484,0.065609263,-0.086045142,0.110741623,2.85,10.8,358.87,11.87,104,28.16,14.82,12.74,3.33,29.2
KG1,aCrainlarich,5.45,1401.5,Low,0.49,0,0,0.49,0,71.53,20.34,8.13,5.33,0.47,0.96,13.31,11.92,2794,0.73,,10.07,0.86,26.91,,0.04,-0.28,0.06,-0.42,1.37,0.35,8.43,-0.26,-0.232336316,-0.379002277,-0.143909853,-0.196080491,,3.82,503.67,4.58,40.15,,0.45,,,
KG2,aCrainlarich,5.45,1401.5,Low,0.49,0,0,0.49,0,71.53,20.34,8.13,5.75,0.62,0.74,9.28,10.78,1339.24,0.74,0.13,7.93,0.68,22.01,0.11,0.46,-0.13,0.07,-0.29,-0.77,0.17,3.53,-0.15,-0.196781324,-0.405759914,-0.110722411,-0.208344364,3.1,3.01,671.19,6.11,53.51,86.21,0.36,7.79,0.1,0.86
KG3,aCrainlarich,5.45,1401.5,Low,0.49,0,0,0.49,0,71.53,20.34,8.13,5.17,0.91,0.27,3.43,10.77,564.56,0.63,0.69,8.36,0.13,14.01,0.29,-0.12,0.16,-0.04,0.27,-0.34,-0.37,-4.47,0.03,-0.259385306,-0.368142337,-0.199664261,-0.265011943,0.95,3.17,1299.52,11.83,103.6,48.73,0.07,26.67,0.34,2.96
KG4,aCrainlarich,5.45,1401.5,Low,0.49,0,0,0.49,0,71.53,20.34,8.13,4.8,0.9,0.38,4.82,10.92,668.57,0.55,0.52,10.05,0.33,12.31,0.36,-0.49,0.15,-0.12,0.1,1.35,-0.17,-6.17,0.1,-0.273163766,-0.281727484,-0.244358096,-0.200287438,1.12,3.81,1622.84,14.77,129.38,47.78,0.18,33.96,0.43,3.76
KG5,aCrainlarich,5.45,1401.5,Low,0.49,0,0,0.49,0,71.53,20.34,8.13,5.38,0.84,0.48,5.85,10.52,707.64,0.71,0.34,7.1,0.53,17.16,0.27,0.09,0.1,0.04,-0.08,-1.6,0.02,-1.32,0.02,-0.201879161,-0.352522518,-0.095787443,-0.226234526,2.46,2.69,1115.76,10.15,88.95,106.65,0.28,10.46,0.13,1.16
KM1,aCrainlarich,5.45,1401.5,Mid,1.96,0.98,0,0.98,0,73.84,18.42,7.74,5.98,1.13,0.31,2.89,8.05,1310.62,0.57,0.17,6.43,0.6,8.46,0.12,0.69,0.39,-0.1,-0.25,-2.28,0.1,-10.02,-0.13,-0.169758971,0.078839784,-0.162173514,0.108918102,1.94,4.05,588.63,8.89,77.9,42.46,0.68,13.86,0.37,3.28
KM2,aCrainlarich,5.45,1401.5,Mid,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.19,0.93,0.32,4.14,11.11,2232.71,0.67,0.29,7.23,0.99,14.78,0.4,0.9,0.18,0,-0.13,-1.47,0.48,-3.7,0.14,-0.138980088,0.085878338,-0.141664449,0.118596195,2.17,4.55,544.59,8.23,72.08,31.31,1.11,17.39,0.47,4.12
KM3,aCrainlarich,5.45,1401.5,Mid,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.16,0.81,0.4,5.24,11.29,1418.05,0.68,0.19,6.09,1.26,12.64,0.29,0.87,0.06,0.01,-0.23,-2.62,0.76,-5.84,0.04,-0.148958066,0.061637582,-0.066515526,0.061492819,3.95,3.83,370.11,5.59,48.98,39.82,1.42,9.3,0.25,2.2
KM4,aCrainlarich,5.45,1401.5,Mid,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.22,0.94,0.34,4.07,10.33,872.22,0.64,0.27,5.97,1.25,10.73,0.46,0.93,0.19,-0.03,-0.15,-2.73,0.75,-7.75,0.2,-0.132085207,0.061869249,-0.184163467,0.088332556,2.94,3.76,506.12,7.65,66.98,32.8,1.41,15.43,0.42,3.66
KM5,aCrainlarich,5.45,1401.5,Mid,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.17,0.91,0.33,3.78,9.81,943.34,0.62,0.32,7.12,1.13,11.46,0.53,0.88,0.16,-0.05,-0.1,-1.58,0.62,-7.02,0.28,-0.173469075,0.021436726,-0.238916261,0.032884375,1.93,4.48,501.62,7.58,66.39,22.06,1.27,22.74,0.61,5.39
HWA1,bShotts,7.4,1550,xHigh,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.27,1.01,0.31,3.6,9.82,1105.82,0.72,0.5,4.78,0.64,12.24,0.63,0.8,-0.02,0.01,0.02,-2.08,0.33,-4.15,0.35,-0.10945556,0.162482182,-0.046085011,0.248761178,1.42,1.28,502.22,1.98,17.36,18.55,0.15,27.07,0.1,0.88
HWA2,bShotts,7.4,1550,xHigh,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.03,1.06,0.31,3.58,9.74,773.63,0.62,0.43,5.67,0.34,9.14,0.26,0.56,0.03,-0.09,-0.05,-1.2,0.03,-7.25,-0.02,-0.184249378,0.064813397,-0.097203686,0.207138648,1.54,1.52,500.75,1.98,17.31,44.55,0.08,11.24,0.04,0.37
HWA3,bShotts,7.4,1550,xHigh,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.18,1.14,0.25,3.64,12.64,968.91,0.75,0.52,5,0.53,14.98,0.57,0.71,0.11,0.04,0.04,-1.86,0.22,-1.42,0.29,-0.12768687,0.15850484,-0.035090271,0.250465166,1.46,1.34,557.89,2.2,19.29,25.32,0.12,22.04,0.08,0.72
