ID,Site,LUIlevel,MAT,MAP,LUIwT,Nit,Mow,Graze,Till,Sand,Silt,Clay,pH,BD,EOC,ETN,totN,totC,CN,totP,CUE_G,CUE_N,CO2_G,CO2_N,MBC_G,MBC_N,PCOA16s1,PCOA16s2,PCOAits1,PCOAits2
KA1,aCrainlarich,xHigh,5.45,1401.5,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.38,1.32,2118.34,405.98,0.16,2.08,11.37,1302.24,0.48,0.15,9.59,1.18,8.82,0.22,-0.126227504,-0.00323024,-0.106219744,0.092137944
KA2,aCrainlarich,xHigh,5.45,1401.5,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.38,0.93,2251.12,599.15,0.29,3.74,10.98,1844.94,0.62,0.27,7.19,1.52,11.66,0.55,-0.087992144,-0.007589668,-0.054662464,-0.011284514
KA3,aCrainlarich,xHigh,5.45,1401.5,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.31,0.97,2631.30,527.28,0.66,7.97,10.37,1414.7,0.72,0.25,6.24,1.13,16.06,0.38,-0.179316988,0.028591683,-0.171892336,0.095467947
KA4,aCrainlarich,xHigh,5.45,1401.5,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.26,0.97,2673.63,560.38,0.28,3.38,10.22,1714.86,0.65,0.3,6.4,0.79,11.97,0.34,-0.163201685,0.037035736,-0.118497752,0.104771476
KA5,aCrainlarich,xHigh,5.45,1401.5,5.19,1.07,0.6,1.44,2.08,65.62,28.42,5.96,6.32,0.78,3271.02,727.46,0.45,6.38,12.03,1814.68,0.65,0.23,7.84,1.36,14.3,0.39,-0.152218484,0.065609263,-0.086045142,0.110741623
KG1,aCrainlarich,Low,5.45,1401.5,0.49,0,0,0.49,0,71.53,20.34,8.13,5.33,0.47,8897.36,883.76,0.96,13.31,11.92,2794,0.73,0.42,10.07,0.86,26.91,0.2575,-0.232336316,-0.379002277,-0.143909853,-0.196080491
KG2,aCrainlarich,Low,5.45,1401.5,0.49,0,0,0.49,0,71.53,20.34,8.13,5.75,0.62,5713.07,1081.21,0.74,9.28,10.78,1339.24,0.74,0.13,7.93,0.68,22.01,0.11,-0.196781324,-0.405759914,-0.110722411,-0.208344364
KG3,aCrainlarich,Low,5.45,1401.5,0.49,0,0,0.49,0,71.53,20.34,8.13,5.17,0.91,1948.15,494.24,0.27,3.43,10.77,564.56,0.63,0.69,8.36,0.13,14.01,0.29,-0.259385306,-0.368142337,-0.199664261,-0.265011943
KG4,aCrainlarich,Low,5.45,1401.5,0.49,0,0,0.49,0,71.53,20.34,8.13,4.8,0.9,1257.44,437.78,0.38,4.82,10.92,668.57,0.55,0.52,10.05,0.33,12.31,0.36,-0.273163766,-0.281727484,-0.244358096,-0.200287438
KG5,aCrainlarich,Low,5.45,1401.5,0.49,0,0,0.49,0,71.53,20.34,8.13,5.38,0.84,2850.57,671.02,0.48,5.85,10.52,707.64,0.71,0.34,7.1,0.53,17.16,0.27,-0.201879161,-0.352522518,-0.095787443,-0.226234526
