Sample,GP140i,GP150i,GP150a,GP160i,F161w9,F161w5,GP171iw8,GP10Me160,GP170i,GP170a,GP170,GP10Me170,F182,F181w9,U191,GP10Me180
HF1,1.218547754,0.502534716,0.439693792,0.534163213,0.282311649,0.316689438,0.232804411,0.221663856,0.509915193,0.523524054,0.810055978,0.237849495,0.230526652,0.500551725,0.405008981,0.218479156
HF2,0.718168249,0.39590074,0.364870338,0.472581172,0.254956294,0.275401826,0.204551125,0.200900733,0.368909439,0.408409248,0.794482177,0.216066333,0.237333031,0.435096207,0.378975762,0.230164462
HF3,0.777643457,0.343795593,0.336544195,0.396989067,0.234925353,0.247618569,0.200663702,0.202702028,0.327896612,0.356250712,0.579437846,0.211719033,0.22731323,0.367975275,0.321299285,0.220077586
HF4,0.856060384,0.493765977,0.710620397,0.991073183,0.321867067,0.295622392,0.237926674,0.23436792,0.552843734,1.027981208,1.469699385,0.253870944,0.29555334,0.750210273,0.399709338,0.306465152
HF5,1.54623729,0.764534196,0.977687296,1.371679624,0.344891875,0.419646584,0.260107595,0.240484594,0.79074067,1.208821433,1.896669286,0.260287198,0.33425124,0.748275005,0.511797453,0.323656109
HF6,1.831259741,1.108818869,1.229667018,1.76346468,0.433349118,0.513880315,0.276659072,0.2615374,1.096538547,1.639123887,2.414860909,0.232037249,0.377647881,1.007988726,0.720075565,0.366181378
HF7,1.066654009,0.611917911,0.647088147,0.999685256,0.343507445,0.34200551,0.256225575,0.239914494,0.572360403,0.936530075,1.389971442,0.245317387,0.300233567,0.820538923,0.528010826,0.284653369
HF8,0.703982772,0.403992876,0.453826557,0.696329588,0.289025624,0.299054929,0.21445988,0.202512656,0.398244302,0.53319215,0.752398881,0.222115618,0.237851659,0.455529793,0.37619148,0.227995533
HF9,0.667373083,0.393380035,0.530081622,0.787079554,0.280515178,0.28177618,0.230861426,0.229201061,0.426598449,0.815395442,1.002093763,0.217201418,0.223249576,0.650353878,0.385252204,0.235771885
HF10,0.294199486,0.600768138,0.384044809,0.160812562,0.311858151,0.237085463,0.244191022,0.124409982,0.354526428,0.241882121,1.778753212,0.319604564,0.176015219,0.236167772,0.964804661,0.177688306
HF11,0.252244287,0.471974969,0.292267605,0.257759699,0.42262288,0.398692801,0.296512584,0.146580616,0.304530935,0.210485113,0.700362497,0.271952725,0.192527246,0.20987843,0.843289518,0.210528128
HF12,0.269057711,0.581182007,0.377135418,0.167753821,0.335123869,0.23808573,0.217352244,0.125249568,0.304472926,0.20251627,1.989534286,0.334187117,0.107875787,0.24599341,0.866704319,0.166019307
HF13,0.319868552,0.542384977,0.435031081,0.234088498,0.426698251,0.244926763,0.220550585,0.125564047,0.291581655,0.371742914,2.612275172,0.433317832,0.123182464,0.338140709,1.430399421,0.186189203
HF14,0.359721648,0.672324766,0.530801116,0.207259801,0.437421147,0.360084893,0.226419175,0.094107739,0.464744214,0.318412035,4.096138714,0.375856045,0.216303397,0.302809003,2.149271405,0.157998555
HF15,0.384674204,0.727078636,0.52498372,0.400994881,0.648320668,0.440198416,0.322936148,0.197745671,0.325235814,0.413937857,0.309934626,0.214421445,0.155840397,0.325029169,3.230684243,0.19781107
HF16,0.36298543,0.709202501,0.472788306,0.436537254,0.794268909,0.436731908,0.249907857,0.155442894,0.162729408,0.553183819,2.982109417,0.39015365,0.216461227,0.387741253,2.822458126,0.148555183
HF17,0.334473869,0.610069063,0.427446242,0.344706805,0.670508891,0.46600482,0.26532318,0.237012256,0.294670299,0.191821534,0.771477308,0.178732094,0.146386177,0.332086893,2.549758765,0.162475269
HF18,0.302526098,0.46232627,0.412954341,0.24923845,0.553835063,0.67371489,0.163461641,0.234125448,0.384209244,0.837106531,0.363197109,0.573634556,0.207838229,0.389839057,2.291050684,0.15658622
MC1,1.03407229,0.642226057,0.568416303,0.984913926,0.314524586,0.363463126,0.241101201,0.230480819,0.611070281,0.822970559,1.336053935,0.262348278,0.502457438,0.948164961,0.377131929,0.391877149
MC2,0.743953572,0.56429332,0.45507358,0.69826487,0.301780124,0.287927601,0.228684237,0.228351708,0.552542751,0.612988757,1.163098731,0.255950914,0.792230572,0.697794272,0.273412961,0.318769433
MC3,1.250792174,0.77290619,0.614682381,1.2212716,0.393057989,0.374115072,0.287978831,0.271294542,0.802203656,0.950319487,1.854395685,0.289735744,0.76536506,1.17402939,0.382628948,0.438440012
MC4,1.235669126,0.720037299,0.598110967,1.16914115,0.386058583,0.430423392,0.276171629,0.26550569,0.758867506,1.190804231,2.07125015,0.329693378,0.581806977,1.516743631,0.435331692,0.418405526
MC5,1.465527686,0.8503043,0.618874109,1.273596448,0.428261503,0.446879035,0.26981862,0.275552493,0.919003557,1.248409228,2.227338603,0.355390238,0.725628009,1.590759206,0.53316653,0.455721811
MC6,1.520236423,1.011812587,0.769609945,1.665627164,0.448520944,0.489879599,0.301291892,0.313423429,1.128588286,1.624183271,2.639682905,0.411377977,0.742676901,1.850097966,0.602454103,0.541161184
MC7,0.715233947,0.487581435,0.420545756,0.773525973,0.286965659,0.319726179,0.225976804,0.230904101,0.518333006,0.680382853,1.085763529,0.259962872,0.329182265,0.883583086,0.41188836,0.372134148
MC8,0.746064362,0.444650969,0.381911739,0.719513107,0.280260827,0.291092525,0.216401249,0.223084251,0.490753013,0.645930111,1.150159125,0.256796447,0.280141019,0.820037555,0.385743805,0.3902902
